Imagem,Classe,Confianca,x1,y1,x2,y2,Recorte
PXJ-8271-4-_jpg.rf.52d2f50e206bd6575117b86e1bdbe98d.jpg,placa,0.8127507567405701,209,354,464,475,PXJ-8271-4-_jpg.rf.52d2f50e206bd6575117b86e1bdbe98d_placa_1.jpg
137_jpg.rf.532cef6e3efed680df8242f7f33bf170.jpg,placa,0.8981918692588806,379,398,424,428,137_jpg.rf.532cef6e3efed680df8242f7f33bf170_placa_1.jpg
400_jpg.rf.4091d2046cd84961a30e4c12b86a37fc.jpg,placa,0.8491462469100952,350,348,405,380,400_jpg.rf.4091d2046cd84961a30e4c12b86a37fc_placa_1.jpg
1034_jpg.rf.9bfc3ba376e686e12e40593a5fd6da47.jpg,placa,0.9004775285720825,404,145,437,170,1034_jpg.rf.9bfc3ba376e686e12e40593a5fd6da47_placa_1.jpg
666_jpg.rf.fb4a921402c324ae3e7377614d86204e.jpg,placa,0.885936439037323,350,408,391,442,666_jpg.rf.fb4a921402c324ae3e7377614d86204e_placa_1.jpg
809_jpg.rf.c3db3d8c9dde5b8626896ccf6c2c35d2.jpg,placa,0.9258030652999878,191,210,267,273,809_jpg.rf.c3db3d8c9dde5b8626896ccf6c2c35d2_placa_1.jpg
OXI-8882-4-_jpg.rf.8a766d45347450dd82cd514fc985185c.jpg,placa,0.8680658340454102,234,329,426,406,OXI-8882-4-_jpg.rf.8a766d45347450dd82cd514fc985185c_placa_1.jpg
LQQ-5578_jpg.rf.acfdba9fe4434ca3ce044b4efc75f95f.jpg,placa,0.8455223441123962,182,385,432,575,LQQ-5578_jpg.rf.acfdba9fe4434ca3ce044b4efc75f95f_placa_1.jpg
treino-364-_jpg.rf.9c23f3b63c2868bed8760262558c4b05.jpg,placa,0.8991726040840149,157,303,255,366,treino-364-_jpg.rf.9c23f3b63c2868bed8760262558c4b05_placa_1.jpg
treino-146-_jpg.rf.7ef324c6258ff38614488aba3912c6b6.jpg,placa,0.9108985662460327,217,384,330,441,treino-146-_jpg.rf.7ef324c6258ff38614488aba3912c6b6_placa_1.jpg
treino-146-_jpg.rf.7ef324c6258ff38614488aba3912c6b6.jpg,placa,0.31017056107521057,592,288,634,311,treino-146-_jpg.rf.7ef324c6258ff38614488aba3912c6b6_placa_2.jpg
LPO-1876_jpg.rf.85b8af875b0fba459a491db3794bcddd.jpg,placa,0.8423998951911926,130,420,329,546,LPO-1876_jpg.rf.85b8af875b0fba459a491db3794bcddd_placa_1.jpg
LSV-0458_jpg.rf.4577d1c7419c051fc1b331f65cb372d6.jpg,placa,0.8033385276794434,268,88,494,269,LSV-0458_jpg.rf.4577d1c7419c051fc1b331f65cb372d6_placa_1.jpg
treino-414-_jpg.rf.59b9a7dcf1686f970cce9ff83d5aec2e.jpg,placa,0.8238320350646973,251,405,356,456,treino-414-_jpg.rf.59b9a7dcf1686f970cce9ff83d5aec2e_placa_1.jpg
184_jpg.rf.b6b6042da67d334fb29731a1083c67b4.jpg,placa,0.8943014144897461,217,303,272,338,184_jpg.rf.b6b6042da67d334fb29731a1083c67b4_placa_1.jpg
370_jpg.rf.728443fc7d8057f0a3faf45863095897.jpg,placa,0.8816462159156799,469,297,503,316,370_jpg.rf.728443fc7d8057f0a3faf45863095897_placa_1.jpg
113_jpg.rf.1c65c487eecb748d3e2d489aed46b8ad.jpg,placa,0.8867804408073425,273,318,341,359,113_jpg.rf.1c65c487eecb748d3e2d489aed46b8ad_placa_1.jpg
KOR-9948_jpg.rf.015002ba0abba4cb84d6e0e438a4d60a.jpg,placa,0.7362445592880249,76,37,334,336,KOR-9948_jpg.rf.015002ba0abba4cb84d6e0e438a4d60a_placa_1.jpg
266_jpg.rf.e5a14668122203ff92391c863f9492ce.jpg,placa,0.8591999411582947,395,292,460,327,266_jpg.rf.e5a14668122203ff92391c863f9492ce_placa_1.jpg
treino-104-_jpg.rf.d61b6437db269ed4545d15e29200690b.jpg,placa,0.8962234854698181,254,502,417,579,treino-104-_jpg.rf.d61b6437db269ed4545d15e29200690b_placa_1.jpg
KPJ-8380-2-_jpg.rf.3c42d40e8b5cb9bca06cbe895b46b1a8.jpg,placa,0.8070207834243774,204,386,414,576,KPJ-8380-2-_jpg.rf.3c42d40e8b5cb9bca06cbe895b46b1a8_placa_1.jpg
